EquipmentSerialNumberID,ModelCode,ModelYear,AskingPrice,PredictedValue,AbsPredictionError,AskingPriceDiffToPredicted,LocationCity,LocationState,ObservationDate,ManufacturerDeliveryPrice
3184,8225R,2010,106350.00000,111128.00,4778.00000,-4778.00000,WARREN,MN,2021-07-01,153738.20
1703,8225R,2010,135000.00000,140603.00,5603.00000,-5603.00000,WILLMAR,MN,2021-09-01,142033.43
2284,8225R,2010,128500.00000,126016.00,2484.00000,2484.00000,ELMER,NJ,2021-07-01,158942.63
2284,8225R,2010,129500.00000,126452.00,3048.00000,3048.00000,ELMER,NJ,2021-07-01,158942.63
2285,8225R,2010,88224.00000,108820.00,20596.00000,-20596.00000,IDAHO FALLS,ID,2021-07-01,132272.91
1704,8R 230,2020,259000.00000,267370.00,8370.00000,-8370.00000,ELNORA,IN,2021-09-01,235827.90
407,8R 230,2020,231900.00000,234060.00,2160.00000,-2160.00000,FREEPORT,IL,2021-07-01,242704.77
407,8R 230,2020,231900.00000,240090.00,8190.00000,-8190.00000,FREEPORT,IL,2021-09-01,242704.77
408,8R 230,2020,261510.00000,271360.00,9850.00000,-9850.00000,ABERDEEN,SD,2021-08-01,236762.68
1705,8R 230,2020,268830.00000,278920.00,10090.00000,-10090.00000,ABERDEEN,SD,2021-08-01,236762.68
1705,8R 230,2020,270850.00000,268751.00,2099.00000,2099.00000,KINDRED,ND,2021-09-01,236762.68
410,8R 230,2020,253880.00000,260424.00,6544.00000,-6544.00000,ABERDEEN,SD,2021-07-01,236762.68
410,8R 230,2020,258870.00000,268564.00,9694.00000,-9694.00000,ABERDEEN,SD,2021-08-01,236762.68
411,8R 230,2020,222900.00000,232248.00,9348.00000,-9348.00000,SOMONAUK,IL,2021-07-01,232061.83
411,8R 230,2020,222900.00000,232200.00,9300.00000,-9300.00000,SOMONAUK,IL,2021-07-01,232061.83
411,8R 230,2020,222900.00000,233592.00,10692.00000,-10692.00000,SOMONAUK,IL,2021-08-01,232061.83
2290,8R 230,2020,265210.00000,269440.00,4230.00000,-4230.00000,ABERDEEN,SD,2021-07-01,236762.68
2290,8R 230,2020,268740.00000,277908.00,9168.00000,-9168.00000,ABERDEEN,SD,2021-08-01,236762.68
2291,8R 230,2020,222900.00000,232472.00,9572.00000,-9572.00000,CLINTON,IL,2021-07-01,232061.83
413,8235R,2012,120117.00000,133218.00,13101.00000,-13101.00000,TWO RIVERS,WI,2021-09-01,160206.20
2293,8235R,2013,144900.00000,140288.00,4612.00000,4612.00000,VAN WERT,OH,2021-07-01,190494.92
3739,8235R,2014,162886.00000,157416.00,5470.00000,5470.00000,SLAYTON,MN,2021-07-01,208045.53
3606,8235R,2011,100000.00000,103712.00,3712.00000,-3712.00000,DOUGLAS,GA,2021-07-01,151407.20
415,8235R,2012,97500.00000,109076.00,11576.00000,-11576.00000,MUNDAY,TX,2021-08-01,160610.05
415,8235R,2012,97500.00000,104200.00,6700.00000,-6700.00000,ROTAN,TX,2021-07-01,160610.05
3740,8235R,2013,99900.00000,104196.00,4296.00000,-4296.00000,ALVA,OK,2021-07-01,177190.09
1706,8235R,2013,175000.00000,165701.00,9299.00000,9299.00000,WILLISTON,ND,2021-09-01,197856.12
416,8235R,2014,150000.00000,166402.00,16402.00000,-16402.00000,TAFT,TX,2021-09-01,198214.17
417,8235R,2011,185000.00000,186402.00,1402.00000,-1402.00000,NEWTON,IL,2021-09-01,173594.96
2303,8235R,2012,136900.00000,150376.00,13476.00000,-13476.00000,MANSON,IA,2021-07-01,167376.44
418,8235R,2013,155000.00000,161634.00,6634.00000,-6634.00000,MUNCIE,IN,2021-09-01,175574.63
419,8235R,2011,79900.00000,71838.00,8062.00000,8062.00000,CLINTON,NC,2021-09-01,154264.11
2306,8235R,2012,119999.00000,128246.00,8247.00000,-8247.00000,PARIS,TX,2021-09-01,196880.68
420,8235R,2012,142500.00000,147370.00,4870.00000,-4870.00000,MARYSVILLE,KS,2021-09-01,182490.31
412,8235R,2012,115075.00000,98804.00,16271.00000,16271.00000,BILLINGS,MT,2021-08-01,186758.88
421,8235R,2012,99800.00000,115490.00,15690.00000,-15690.00000,ALAMOSA,CO,2021-09-01,147920.85
422,8235R,2011,139999.00000,133708.00,6291.00000,6291.00000,AURORA,OR,2021-07-01,187418.77
422,8235R,2011,139999.00000,130516.00,9483.00000,9483.00000,AURORA,OR,2021-08-01,187418.77
422,8235R,2011,139999.00000,137824.00,2175.00000,2175.00000,AURORA,OR,2021-09-01,187418.77
1999,8235R,2012,175000.00000,147423.00,27577.00000,27577.00000,DEVILS LAKE,ND,2021-09-01,209016.15
1709,8235R,2012,119000.00000,127839.00,8839.00000,-8839.00000,MICHIGAN,ND,2021-09-01,163920.56
1711,8235R,2011,126995.00000,133570.00,6575.00000,-6575.00000,POUND,WI,2021-09-01,162285.20
