DATE,Corn,Soybeans,Wheat,Potatoes
2015-01-01,151.9,168.5,171.7,86.6
2015-02-01,151.6,163.5,167.1,85.0
2015-03-01,146.4,167.0,164.4,79.8
2015-04-01,142.4,164.5,157.8,79.7
2015-05-01,137.3,159.8,152.4,75.6
2015-06-01,135.9,164.4,168.3,74.0
2015-07-01,163.8,176.4,160.6,74.9
2015-08-01,153.9,169.5,142.7,90.8
2015-09-01,159.2,151.3,138.3,80.1
2015-10-01,156.4,152.9,143.3,81.1
2015-11-01,149.5,144.8,135.1,86.4
2015-12-01,150.4,146.7,138.1,82.8
2016-01-01,141.5,147.9,136.2,86.6
2016-02-01,139.3,145.6,128.4,84.3
2016-03-01,138.7,150.0,135.0,84.5
2016-04-01,136.6,156.7,127.9,85.9
2016-05-01,139.4,180.2,128.8,83.3
2016-06-01,159.7,195.7,132.7,88.4
2016-07-01,131.1,186.0,119.7,78.6
2016-08-01,129.9,170.2,116.0,97.1
2016-09-01,130.7,161.4,107.7,81.8
2016-10-01,132.6,158.0,108.4,75.8
2016-11-01,135.2,163.4,111.6,79.1
2016-12-01,135.5,170.8,113.1,77.6
2017-01-01,137.2,168.4,120.8,77.4
2017-02-01,139.9,173.1,126.8,74.3
2017-03-01,135.3,164.5,125.2,75.1
2017-04-01,134.7,154.8,123.0,80.4
2017-05-01,134.9,161.3,123.9,75.2
2017-06-01,136.4,155.4,135.6,91.2
2017-07-01,145.7,171.9,168.6,93.3
2017-08-01,137.8,153.7,134.2,127.1
2017-09-01,137.0,157.7,130.6,118.7
2017-10-01,133.3,158.2,130.7,99.3
2017-11-01,131.0,159.9,132.6,105.0
2017-12-01,129.3,161.9,127.4,105.2
2018-01-01,133.3,159.7,135.9,104.9
2018-02-01,138.1,168.5,143.3,100.4
2018-03-01,143.6,172.9,151.8,92.1
2018-04-01,143.2,174.8,155.0,97.6
2018-05-01,147.8,169.5,151.5,102.4
2018-06-01,138.5,159.0,163.3,103.6
2018-07-01,128.7,143.3,148.5,96.7
2018-08-01,143.9,143.1,158.3,111.7
2018-09-01,143.5,131.5,147.3,94.5
2018-10-01,140.1,136.8,149.9,87.9
2018-11-01,145.3,140.8,147.5,88.7
2018-12-01,146.2,148.4,151.0,89.6
2019-01-01,141.2,143.6,148.8,98.1
2019-02-01,142.5,148.6,151.8,107.3
2019-03-01,136.2,144.8,139.0,110.8
2019-04-01,136.3,145.8,135.6,112.7
2019-05-01,138.3,134.0,131.4,110.1
2019-06-01,163.4,140.4,146.6,116.8
2019-07-01,172.1,146.4,137.5,110.3
2019-08-01,157.2,144.5,124.2,146.2
2019-09-01,156.1,141.6,125.3,124.1
2019-10-01,164.6,153.6,136.0,108.7
2019-11-01,159.1,152.2,142.3,135.8
2019-12-01,151.7,151.8,141.1,137.7
2020-01-01,158.0,158.5,155.9,139.7
2020-02-01,151.0,149.5,149.8,139.5
2020-03-01,150.2,148.2,142.7,140.1
2020-04-01,122.0,143.7,150.2,136.0
2020-05-01,118.3,144.2,145.3,113.8
2020-06-01,123.2,146.1,141.5,116.4
2020-07-01,124.0,148.4,139.9,132.8
2020-08-01,125.9,146.7,131.3,145.6
2020-09-01,151.4,167.3,141.6,105.8
2020-10-01,158.3,175.6,156.1,101.2
2020-11-01,172.1,194.6,164.2,111.6
2020-12-01,171.7,202.4,165.5,107.1
2021-01-01,208.8,243.1,182.9,102.7
2021-02-01,218.6,240.3,186.9,102.6
2021-03-01,216.7,248.5,188.1,96.7
2021-04-01,231.8,241.8,180.6,96.5
2021-05-01,298.7,286.4,216.1,96.4
2021-06-01,271.9,251.8,196.5,106.7
2021-07-01,258.8,246.4,204.5,108.6
2021-08-01,271.5,237.3,233.7,145.6
2021-09-01,236.8,218.3,232.1,143.3
2021-10-01,218.8,203.7,238.8,123.6
